City,Country,Longitude,Lattitude,Description,Rain,Temperature,Max_Temp,Min_Temp,Humidity,Sunset,Sunrise,Windspeed,Visibility
Liberdade,BR,-46.6339,-23.5504,light rain,1,291.65,294.45,287.58,86,1635715151,1635668457,2.24,10000
Lohāru,IN,75.8472,28.66,clear sky,0,299.95,299.95,299.95,20,1635682351,1635642467,1.89,10000
Dhārūr,IN,75.8472,18.9667,scattered clouds,0,298.22,298.22,298.22,54,1635683038,1635641780,2.74,10000
Pithampur,IN,75.8472,22.5411,clear sky,0,293.23,293.23,293.23,46,1635682796,1635642022,1.84,10000
Pithampur,IN,75.8472,22.5411,clear sky,0,293.23,293.23,293.23,46,1635682796,1635642022,1.84,10000
Sakleshpur,IN,75.8472,12.9699,light rain,1,294.62,294.62,294.62,82,1635683424,1635641394,1.55,10000
Belūr,IN,75.8472,13.0825,broken clouds,1,294.35,294.35,294.35,81,1635683417,1635641401,1.75,10000
Indi,IN,75.8472,17.3667,overcast clouds,1,302.91,302.91,302.91,46,1635683143,1635641675,3.09,10000
Bhūm,IN,75.8472,18.5196,clear sky,0,297.66,297.66,297.66,54,1635683068,1635641750,4.26,10000
Sānwer,IN,75.8472,23.03,clear sky,0,294.3,294.3,294.3,42,1635682762,1635642056,2.38,10000
Faizpur,IN,75.8472,21.17,clear sky,0,296.19,296.19,296.19,46,1635682890,1635641928,2.64,10000
Jagatpura,IN,75.8472,26.847,haze,0,299.81,299.81,299.81,22,1635682488,1635642330,0,3000
Jaipur,IN,75.8472,26.9167,haze,0,299.66,299.66,299.66,22,1635682483,1635642336,0,3000
Niwai,IN,75.8472,26.4725,clear sky,0,300.58,300.58,300.58,29,1635682515,1635642303,2.9,10000
Kota,IN,75.8472,25.15,clear sky,0,298.11,298.11,298.11,27,1635682612,1635642206,0.68,10000
Kota,IN,75.8472,25.15,clear sky,0,298.11,298.11,298.11,27,1635682612,1635642206,0.68,10000
Kota,IN,75.8472,25.15,clear sky,0,298.11,298.11,298.11,27,1635682612,1635642206,0.68,10000
Dhārūr,IN,75.8472,18.9667,scattered clouds,1,298.22,298.22,298.22,54,1635683038,1635641780,2.74,10000
Lohāru,IN,75.8472,28.66,clear sky,0,299.95,299.95,299.95,20,1635682351,1635642467,1.89,10000
Dhārūr,IN,75.8472,18.9667,scattered clouds,1,298.22,298.22,298.22,54,1635683038,1635641780,2.74,10000
Tokyo,JP,139.6922,35.6897,broken clouds,1,287.77,289.57,286.51,84,1635666459,1635627714,2.57,10000
City Line,US,-73.9249,40.6943,mist,1,286.46,287.7,284.86,92,1635717207,1635679501,0.89,10000
Mexico City,MX,-99.1333,19.4333,broken clouds,0,287.07,287.07,281.95,62,1635724988,1635683819,0.45,10000
Liberdade,BR,-46.6339,-23.5504,light rain,1,291.93,293.74,289.31,80,1635715151,1635668457,4.63,10000
Liberdade,BR,-46.6339,-23.5504,light rain,1,291.93,293.74,289.31,80,1635715151,1635668457,4.63,10000
Haldia,IN,88,22,clear sky,0,296.41,296.41,296.41,61,1635679918,1635639067,1.96,10000
Breach Candy,IN,72,19,clear sky,0,301,301,301,68,1635770330,1635729132,4.77,10000
Breach Candy,IN,72,19,clear sky,0,301,301,301,68,1635770330,1635729132,4.77,10000
Ostān-e Qazvīn,IR,50,36,overcast clouds,0,284.72,284.72,284.72,49,1635687942,1635649283,1.84,10000
Løgstør,DK,9,57,overcast clouds,1,284.52,284.94,284.16,88,1635694972,1635661932,11.61,10000
Løgstør,DK,9,57,overcast clouds,1,284.52,284.94,284.16,88,1635694972,1635661932,11.61,10000
Stoczek Łukowski,PL,22,52,clear sky,0,280,281.95,278.62,63,1635692765,1635657899,4.69,10000
Gumdag,TM,55,39,overcast clouds,1,286.99,286.99,286.99,49,1635772792,1635734830,4.7,10000
Murzuq,LY,15,25,clear sky,0,296.08,296.08,296.08,26,1635697219,1635656805,2.63,10000
Esfarāyen,IR,58,37,broken clouds,0,276.76,276.76,276.76,57,1635685932,1635647453,1,10000
Damāvand,IR,52,36,few clouds,0,276.28,276.28,276.28,76,1635687462,1635648802,2.76,10000
Ash Shaykh `Uthman,YE,45,13,broken clouds,1,301.56,301.56,301.56,64,1635690824,1635648801,8.01,10000
Wamba,CD,28,1,moderate rain,1,293.83,293.83,293.83,99,1635695637,1635652147,1.3,10000
Krapivna,RU,37,54,clear sky,0,276.96,276.96,276.96,88,1635688835,1635654629,3.31,10000
Shetpe,KZ,52,44,clear sky,0,283.13,283.13,283.13,48,1635772969,1635736093,4.39,10000
Gomel Oblast,BY,30,52,clear sky,0,278.41,278.41,278.41,76,1635690848,1635655977,2.83,10000
Drahichyn,BY,25,52,clear sky,0,280.22,280.22,280.22,69,1635692046,1635657178,3.69,10000
Magwi County,SS,32,4,scattered clouds,0,295.22,295.22,295.22,69,1635694496,1635651368,1.42,10000
Başkale,TR,44,38,scattered clouds,1,277.31,277.31,277.31,88,1635689195,1635650909,1.36,10000
Mizhevichi,BY,25,53,clear sky,0,279.78,279.78,279.78,73,1635691883,1635657341,4.17,10000
Tenedos,TR,26,40,broken clouds,1,288.7,288.7,288.7,74,1635693316,1635655429,7.83,10000
Berane,ME,20,43,clear sky,0,275.2,275.2,275.2,85,1635694437,1635657187,1.81,10000
Kisangani,CD,25,1,moderate rain,1,293.97,293.97,293.97,99,1635696357,1635652867,0.73,10000
Luciu,RO,27,45,scattered clouds,0,283.02,283.02,283.02,65,1635692528,1635655736,0.91,10000
Susa,IR,48,32,few clouds,1,299.48,299.48,299.48,33,1635688766,1635649419,4.15,10000
Naama Bay,EG,35,28,overcast clouds,0,300.45,300.45,300.45,53,1635692200,1635652225,3.1,10000
Dévaványa,HU,21,47,clear sky,0,279.18,279.18,278.5,63,1635693720,1635657425,1.71,10000
Rutigliano,IT,17,41,broken clouds,0,286.12,288.52,283.51,88,1635695371,1635657693,3.56,10000
Switzerland,CH,8,47,overcast clouds,0,279.5,284.06,276.51,76,1635696836,1635660548,2.86,10000
Powiat piaseczyński,PL,21,52,clear sky,0,283.39,285.83,280.08,76,1635693005,1635658139,3.09,10000
Russkiy,RU,132,43,light rain,1,277.23,277.23,277.23,67,1635753902,1635716761,6.31,10000
Altenmarkt an der Triesting,AT,16,48,scattered clouds,1,281.16,283,278.13,91,1635694787,1635658757,2.49,10000
Taungoo,MM,96,19,few clouds,1,294.17,294.17,294.17,99,1635764572,1635723371,0.14,10000
Taungoo,MM,96,19,few clouds,1,294.17,294.17,294.17,99,1635764572,1635723371,0.14,10000
Papozze,IT,12,45,clear sky,0,285.06,288.15,282.62,90,1635696125,1635659339,1.04,10000
Gharyan,LY,13,32,few clouds,0,293.43,293.43,293.43,32,1635697161,1635657824,6.66,10000
Qom,IR,51,35,overcast clouds,0,293.07,293.07,293.07,42,1635687791,1635648953,2.43,10000
Sharurah,SA,47,18,clear sky,0,295.98,295.98,295.98,25,1635690023,1635648641,4.6,10000
Ösmo,SE,18,59,broken clouds,1,280.18,281.03,278.75,92,1635692373,1635660211,3.06,10000
Padesh,BG,23,42,clear sky,0,279.23,279.23,279.23,81,1635693827,1635656358,0.95,10000
Pontian Kechil,MY,103,1,overcast clouds,0,298.71,298.71,298.71,87,1635764035,1635720547,1.94,3909
Liantang,CN,121,31,overcast clouds,0,288.78,290.42,288.16,85,1635757687,1635718256,1.76,10000
Abu Simbel,EG,31,23,overcast clouds,1,303.26,303.26,303.26,25,1635693523,1635652821,3.92,10000
